市縣,區域,總計,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營建工程業,批發及零售業,運輸及倉儲業,住宿及餐飲業,出版、影音製作、傳播及資通訊服務業,金融及保險業、強制性社會安全,不動產業,專業、科學及技術服務業,支援服務業,教育業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,其他服務業
臺中市,東勢區,2545,2,167,1,18,299,1058,49,358,8,22,25,66,33,42,65,29,303
臺中市,大甲區,4686,2,1156,2,15,408,1786,98,380,16,68,64,91,38,69,91,62,340
臺中市,清水區,4302,1,865,2,23,504,1789,135,280,22,53,45,93,54,81,74,32,249
臺中市,沙鹿區,5309,1,665,8,36,451,2287,126,611,44,93,131,124,88,106,95,44,399
臺中市,梧棲區,3664,0,720,4,26,392,1190,414,235,20,52,79,75,59,53,31,53,261
臺中市,后里區,2843,1,789,3,26,208,889,72,320,9,21,37,46,38,60,54,25,245
臺中市,神岡區,5382,1,2730,5,28,309,1289,81,319,15,31,30,75,37,65,47,36,284
臺中市,潭子區,6238,2,1711,4,34,555,2082,137,535,41,59,100,135,101,107,109,71,455
臺中市,大雅區,6410,1,1827,2,27,556,2217,155,496,31,83,110,136,89,115,89,65,411
臺中市,新社區,981,0,107,1,27,83,415,20,169,1,8,9,14,6,19,18,17,67
臺中市,石岡區,627,0,137,1,3,64,212,23,70,2,4,5,12,13,10,5,6,60
臺中市,外埔區,1403,0,503,1,15,162,433,34,74,2,8,22,20,17,19,19,3,71
臺中市,大安區,811,0,361,1,6,130,191,15,23,1,8,2,6,9,7,9,8,34
臺中市,烏日區,5066,3,1567,4,27,465,1794,141,279,28,35,65,126,92,73,84,33,250
臺中市,大肚區,2971,2,840,1,10,330,1074,103,178,8,27,27,60,32,54,48,15,162
臺中市,龍井區,4029,0,943,3,41,418,1328,105,410,32,33,68,101,71,64,54,46,312
臺中市,霧峰區,4351,5,1004,5,20,403,1495,86,518,20,39,65,96,45,73,66,48,363
臺中市,太平區,11341,1,4055,1,62,1074,3242,276,716,61,83,181,233,160,178,200,114,704
臺中市,大里區,13969,1,3551,3,71,1327,4921,321,1094,101,162,245,372,187,264,260,136,953
臺中市,和平區,351,1,12,3,0,11,137,4,134,1,7,0,1,3,12,5,4,16
臺北市,全部,202580,16,7237,94,369,9372,86708,9909,19244,7896,11184,6796,16826,4697,3459,4219,3275,11279
臺北市,松山區,19626,2,451,10,36,896,7782,1106,1695,910,1363,841,2113,485,332,366,314,924
臺北市,信義區,19997,2,473,8,45,1052,8165,814,1610,1104,1403,762,2353,427,269,352,244,914
臺北市,大安區,28007,3,615,18,29,1136,10956,698,2978,1402,1961,1240,3134,510,566,855,412,1494
臺北市,中山區,33497,4,1004,17,47,1407,13539,1587,2974,1242,2424,1465,2904,1621,335,561,591,1775
臺北市,中正區,17840,4,394,16,21,596,7514,728,1891,895,1167,594,1781,381,442,327,323,766
臺北市,大同區,13488,1,622,3,18,445,7663,425,867,317,573,373,799,217,116,211,163,675
臺北市,萬華區,14276,0,591,1,35,506,8176,677,1283,228,225,204,541,188,135,222,355,909
臺北市,文山區,9288,0,204,1,28,731,3548,781,1251,233,187,155,553,147,268,250,162,789
臺北市,南港區,6717,0,527,4,19,440,2593,544,661,277,292,128,386,131,88,108,78,441
臺北市,內湖區,17524,0,1142,9,41,976,7336,1024,1345,887,1012,576,1208,284,352,299,192,841
臺北市,士林區,13376,0,840,3,22,630,5795,780,1642,242,378,294,659,167,328,377,280,939
臺北市,北投區,8944,0,374,4,28,557,3641,745,1047,159,199,164,395,139,228,291,161,812
臺南市,全部,111633,9,16308,102,447,7412,44534,2305,14579,788,2020,1971,3346,1850,2075,2443,1492,9952
臺南市,新營區,4587,0,357,7,20,318,1918,106,661,30,98,82,127,71,106,158,64,464
臺南市,鹽水區,1045,0,112,2,6,97,461,25,151,2,12,7,18,15,14,23,20,80
臺南市,白河區,1398,0,70,2,9,86,585,40,290,1,16,3,24,31,25,27,23,166
臺南市,柳營區,887,0,129,1,5,68,319,18,141,1,9,9,16,20,17,9,11,114
臺南市,後壁區,768,0,106,2,5,98,298,41,84,0,10,2,10,15,8,13,8,68
臺南市,東山區,570,0,39,2,0,55,271,18,88,1,11,0,8,7,10,14,5,41
臺南市,麻豆區,2458,0,226,1,14,154,1141,72,333,10,26,32,55,34,45,53,34,228
臺南市,下營區,858,0,78,1,1,83,376,13,130,2,8,2,15,18,18,17,15,81
臺南市,六甲區,938,0,60,3,2,60,441,14,148,2,7,3,27,6,27,20,16,102
臺南市,官田區,969,2,212,5,3,73,355,27,126,2,15,6,14,6,14,13,8,88
臺南市,大內區,278,0,22,1,1,22,119,10,44,1,6,3,2,4,3,5,7,28
